trait	leafmid_BLUP	fenzhi_BLUP
25D1787	18.38	13.41
25D1788	18.91	13.85
25D1789	18.38	4.51
25D179	17.51	8.52
25D1790	18.21	8.96
25D1791	19.09	9.4
25D1792	18.38	9.85
25D1793	18.21	7.63
25D1794	18.03	13.41
25D1795	18.38	10.29
25D1796	17.51	8.52
25D1797	18.38	10.29
25D1798	18.21	4.96
25D1799	17.86	4.96
25D180	18.73	10.74
25D1800	16.1	5.4
25D181	17.86	13.85
25D182	18.38	8.96
25D183	18.91	8.07
25D184	18.38	8.96
25D185	18.56	7.18
25D186	19.26	7.63
25D187	18.38	4.07
25D188	17.86	8.52
25D189	18.21	15.18
25D190	19.44	13.41
25D191	17.86	8.07
25D192	18.73	9.85
25D193	18.21	8.96
25D194	17.86	7.18
25D195	18.91	8.52
25D196	18.21	2.29
25D197	18.03	11.63
25D198	18.03	7.18
25D199	18.91	6.74
25D200	18.38	8.96
25D201	18.03	8.07
25D202	18.21	2.29
25D203	18.73	13.41
25D204	19.09	10.74
25D205	17.68	8.07
25D206	18.73	11.63
25D207	18.03	3.62
25D208	18.56	12.07
25D209	18.21	13.41
25D210	18.91	14.3
25D211	18.03	10.74
25D212	17.33	7.18
25D213	18.03	6.29
25D214	18.38	8.96
25D215	18.38	6.29
25D216	17.68	10.29
25D217	17.51	8.96
25D218	17.33	11.63
25D219	17.86	12.52
25D220	18.21	7.18
25D221	18.21	7.18
25D222	18.21	8.96
25D223	16.45	12.52
25D224	17.68	6.29
25D225	18.03	6.74
25D226	17.68	5.4
25D227	18.21	8.07
25D228	17.68	1.85
25D229	18.56	11.18
25D230	18.38	2.74
25D231	17.15	9.4
25D232	18.21	8.07
25D233	18.56	8.52
25D234	18.26	14.53
25D235	17.51	8.52
25D236	15.75	7.63
25D237	18.05	8.12
25D238	18.21	6.29
25D239	18.73	8.07
25D240	18.56	5.4
25D241	18.21	6.29
25D242	18.91	8.96
25D243	18.56	9.4
25D244	18.56	13.41
25D245	18.91	9.4
25D246	18.56	10.74
25D247	18.21	10.29
25D248	17.33	9.85
25D249	17.86	9.85
25D250	17.51	14.3
25D251	17.15	12.52
25D252	18.21	12.96
25D253	18.56	9.4
25D254	17.68	8.96
25D255	17.33	4.51
25D256	17.86	12.52
25D257	16.63	4.07
25D258	16.98	11.33
25D259	18.03	10.74
25D260	18.38	8.52
25D261	17.33	5.4
25D262	17.33	7.63
25D263	17.15	13.85
25D264	18.05	8.93
25D265	17.51	8.96
25D266	17.86	8.96
25D267	18.21	15.18
25D268	17.41	12.13
25D269	18.56	8.52
25D270	19.44	11.18
25D271	17.15	8.07
25D272	18.21	3.18
25D273	17.51	6.29
25D274	18.21	2.74
25D275	18.21	3.62
25D276	17.86	6.74
25D277	17.2	4.92
25D278	18.03	16.07
25D279	18.21	10.74
25D280	16.1	6.74
25D281	18.03	6.74
25D282	18.03	4.07
25D283	19.09	15.18
25D284	17.86	11.18
25D285	18.73	12.96
25D286	18.91	11.63
25D287	17.15	8.96
25D288	19.09	9.4
25D289	19.26	10.74
25D290	18.56	11.63
25D291	18.56	10.74
25D292	18.21	11.63
25D293	17.68	10.74
25D294	18.21	11.18
25D295	17.86	12.52
25D296	17.86	8.07
25D297	18.73	9.4
25D298	19.79	12.52
25D299	18.73	12.52
25D300	18.56	8.96
25D301	18.21	15.18
25D302	18.56	13.85
25D303	18.56	9.85
25D304	19.96	16.96
25D305	18.91	8.96
25D306	18.47	11.33
25D307	18.91	6.29
25D308	19.44	7.63
25D309	19.61	12.52
25D310	18.91	7.18
25D311	18.56	12.52
25D312	19.26	14.3
25D313	18.21	9.4
25D314	18.73	9.85
25D315	17.51	6.74
25D316	18.56	9.85
25D317	17.86	16.07
25D318	19.09	6.74
25D319	18.91	16.07
25D320	18.38	12.52
25D321	18.56	5.85
25D322	18.21	8.07
25D323	18.73	12.96
25D324	18.38	9.85
25D325	17.68	11.18
25D326	18.38	6.74
25D327	18.38	4.96
25D328	17.86	11.63
25D329	17.68	9.4
